Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
01G16;Moabiter Grundschule;Paulstr. 28;10557;Berlin;Sanierung Sanitär;300.000 €
01G42;Anna-Lindh-Grundschule;Guineastr. 17-18;13351;Berlin;Sanierung Sanitär, 2. BA;250.000 €
01G44;Allegro-Grundschule;Lützowstr. 83-85;10785;Berlin;Sanierung Sanitär, 2. BA;250.000 €
01Y07;Französisches Gymnasium;Derfflingerstr. 7;10785;Berlin;Sanierung Sanitär Sporthalle;200.000 €
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Berlin;Sanierung Sanitär, 2. BA;100.000 €
02G23;Fichtelgebirge-Grundschule;Görlitzer Ufer 2;10997;Berlin;Sanierung Sanitär Sporthalle;500.000 €
02K08;Refik-Veseli-Schule;Skalitzer Str. 55;10997;Berlin;Sanierung Sanitär Sporthalle;400.000 €
03G18;Picasso-Grundschule;Gounodstr. 71;13088;Berlin;Sanierung Sanitär;29.000 €
03G23;Grundschule Alt-Karow;Bahnhofstr. 32;13125;Berlin;Sanierung Sanitär;28.000 €
03G24;Grundschule im Panketal;Achillesstr. 31;13125;Berlin;Sanierung Sanitär;29.000 €
03G32;Grundschule an den Buchen;Wilhelm-Wolff-Str. 19;13156;Berlin;Sanierung Sanitär, 2. BA;360.000 €
03G41;Trelleborg-Schule;Eschengraben 40;13189;Berlin;Sanierung Sanitär;28.000 €
03K01;Kurt-Schwitters-Schule;Bötzowstr. 1;10407;Berlin;Sanierung Sanitär;29.000 €
03S03;Helene-Haeusler-Schule;Mendelssohnstr. 10;10405;Berlin;Sanierung Sanitär;29.000 €
03Y14;Primo-Levi-Gymnasium;Pistoriusstr. 133;13086;Berlin;Sanierung Sanitär, 2. BA;440.000 €
03Y16;Robert-Havemann-Schule;Achillesstr. 79;13125;Berlin;Sanierung Sanitär;28.000 €
04G08;Mierendorff-Grundschule;Mierendorffstr. 20-24;10589;Berlin;Sanierung Sanitär, 2. BA;175.000 €
04G11;Helmuth-James-von-Moltke-G;Heckerdamm 221;13627;Berlin;Sanierung Sanitär, 1. BA;150.000 €
04G19;Grundschule am Rüdesheimer Platz;Rüdesheimer Str. 24-30;14197;Berlin;Sanierung Sanitär, 1. BA;135.000 €
04G22;Grunewald-Grundschule;Delbrückstr. 20A;14193;Berlin;Sanierung Sanitär, 2. BA;70.000 €
04K02;Friedensburg-Oberschule;Goethestr. 8-9;10623;Berlin;Sanierung Sanitär, 2. BA;150.000 €
04Y06;Heinz-Berggruen-Schule;Bayernallee 4;14052;Berlin;Sanierung Sanitär, 2. BA;250.000 €
04Y08;Hildegard-Wegscheider-Gymnasium;Lassenstr. 16-20;14193;Berlin;Sanierung Sanitär, 2. BA;70.000 €
05G02;Grundschule am Eichenwald;Gaismannshofer Weg 2;13587;Berlin;Sanierung Sanitär;250.000 €
05G10;Grundschule am Birkenhain;Seeburger Str. 59;13581;Berlin;Sanierung Sanitär;100.000 €
05G10;Grundschule am Birkenhain;Seeburger Str. 59;13581;Berlin;Sanierung Sanitär Sporthalle;150.000 €
05K03;Bertolt-Brecht-Oberschule;Wilhelmstr. 10;13595;Berlin;Sanierung Sanitär Sporthalle, 2. BA;500.000 €
06G07;Zinnowwald-Grundschule;Hartmannsweiler Weg 65;14163;Berlin;Sanierung Sanitär Sporthalle;0 €
06G25;Clemens-Brentano-Grundschule;Kommandantenstr. 83-84;12205;Berlin;Sanierung Sanitär;250.000 €
06K03;Kopernikus-Schule;Dessauerstr. 49-55;12249;Berlin;Sanierung Sanitär Sporthalle;250.000 €
06Y08;Hermann-Ehlers-Oberschule;Elisenstr. 3-4;12169;Berlin;Sanierung Sanitär;250.000 €
06Y10;Lilienthal-Gymnasium;Ringstr. 2-3;12203;Berlin;Sanierung Sanitär Sporthalle;250.000 €
07G02;Finow-Grundschule;Welserstr. 16-22;10777;Berlin;Sanierung Sanitär;235.000 €
07G06;Sternberg-Grundschule;Mettestr. 8;10825;Berlin;Sanierung Sanitär;150.000 €
07G12;Scharmützelsee-Grundschule;Hohenstaufenstr. 49;10779;Berlin;Sanierung Sanitär, 1. BA;405.000 €
07K06;Georg-von-Giesche-Schule;Hohenstaufenstr. 47-48;10779;Berlin;Sanierung Sanitär, 1. BA;210.000 €
08G11;Schliemann-Schule;Groß-Ziethener Chaussee 73;12355;Berlin;Sanierung Sanitär, 2. BA;250.000 €
08G21;Silberstein-Schule;Silbersteinstr. 42;12051;Berlin;Sanierung Sanitär, 1. BA;250.000 €
08G28;Matthias-Claudius-Schule;Köpenicker Str. 148;12355;Berlin;Sanierung Sanitär, 1. BA;150.000 €
08K11;Alfred-Nobel-Schule Filiale;Parchimer Allee 109;12359;Berlin;Sanierung Sanitär;200.000 €
08Y01;Albrecht-Dürer-Schule;Emser Str. 132-137;12051;Berlin;Sanierung Sanitär, 2. BA;150.000 €
09G01;Bouché-Schule (Sporthalle);Bouchestr. 5-10;12435;Berlin;Sanierung Sanitär Sporthalle, 2. BA;190.000 €
09G27;Friedrichshagener Schule;Peter-Hille-Str. 7;12587;Berlin;Sanierung Sanitär;45.000 €
09K07;Sophie-Brahe-Schule;Willi-Sänger-Str. 1;12547;Berlin;Sanierung Sanitär, 2. BA;255.000 €
09Y03;Archenhold-Gymnasium;Rudower Str. 7;12439;Berlin;Sanierung Sanitär, 2. BA;360.000 €
09Y06;Gerhart-Hauptmann-Gymnasium;Bruno-Wille-Str. 37-45;12587;Berlin;Sanierung Sanitär;150.000 €
10G25;Grundschule am Schleipfuhl;Nossener Str. 85;12627;Berlin;Sanierung Sanitär, 2. BA;1.000.000 €
11G07;Herrmann-Gmeiner-Schule;Harnackstr. 17;10365;Berlin;Sanierung Sanitär, 2. BA;400.000 €
11G12;Lew-Tolstoi-Schule;Römerweg 120;10318;Berlin;Sanierung Sanitär Sporthalle;470.000 €
11G13;Karlshorster Schule;Lisztstr. 6;10318;Berlin;Sanierung Sanitär Gebäude und Sanitär Sporthalle;130.000 €
12G05;Kolumbus-Grundschule;Büchsenweg 23A;13409;Berlin;Sanierung Sanitär;150.000 €
12G21;Grundschule am Fließtal;Seebadstr. 42-43;13467;Berlin;Sanierung Sanitär, 2. BA;350.000 €
12K06;Benjamin-Franklin-Schule;Sommerfelder Str. 5-7;13509;Berlin;Sanierung Sanitär, 2. BA;500.000 €
